city,month,year,date,rain,temp_variability,stability_score,realtime_temp,realtime_humidity
Berlin,7,2025,2025-07-05,4398.53,11.312,0.081,27.82,31
Munich,7,2025,2025-07-05,4861.27,10.783,0.085,28.96,40
Hamburg,7,2025,2025-07-05,4654.22,12.119,0.076,22.04,48
Cologne,7,2025,2025-07-05,5279.09,11.459,0.08,28.41,28
Frankfurt,7,2025,2025-07-05,4785.61,11.134,0.082,29.11,27
Stuttgart,7,2025,2025-07-05,4660.19,10.84,0.084,29.43,31
Dusseldorf,7,2025,2025-07-05,4733.23,11.779,0.078,25.24,35
Dresden,7,2025,2025-07-05,5353.25,9.671,0.094,32.07,25
Leipzig,7,2025,2025-07-05,4306.08,10.661,0.086,28.23,28
Hanover,7,2025,2025-07-05,4403.26,10.917,0.084,25.68,31
